# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"text","text_en","cmp_code","eu_code"
"A New Covenant with the American People",NA,NA,NA
"Two hundred summers ago, this Democratic Party was founded by the man whose burning pen fired the spirit of the American Revolution - who once argued we should overthrow our own government every 20 years to renew our freedom and keep pace with a changing world.",NA,"202",NA
"In 1992, the party Thomas Jefferson founded invokes his spirit of revolution anew.",NA,"201",NA
"Our land reverberates with a battle cry of frustration that emanates from America's very soul - from the families in our bedrock neighborhoods, from the unsung, workaday heroes of the world's greatest democracy and economy.",NA,"605",NA
"America is on the wrong track.",NA,"000",NA
"The American people are hurting.",NA,"606",NA
"The American Dream of expanding opportunity has faded.",NA,"410",NA
"Middle class families are working hard, playing by the rules, but still falling behind.",NA,"603",NA
"Poverty has exploded.",NA,"606",NA
"Our people are torn by divisions.",NA,"606",NA
"The last 12 years have been a nightmare of Republican irresponsibility and neglect.",NA,"305",NA
"America's leadership is indifferent at home and uncertain in the world.",NA,"305",NA
"Republican mismanagement has disarmed government as an instrument to make our economy work and support the people's most basic values, needs and hopes.",NA,"305",NA
"The Republicans brought America a false and fragile prosperity based on borrowing, not income, and so will leave behind a mountain of public debt and a backbreaking annual burden in interest.",NA,"305",NA
"It is wrong to borrow to spend on ourselves, leaving our children to pay our debts.",NA,"414",NA
"We hear the anguish and the anger of the American people.",NA,"606",NA
"We know it is directed not just at the Republican administrations that have had power, but at government itself.",NA,"606",NA
"Their anger is justified.",NA,"305",NA
"We can no longer afford business as usual -- neither the policies of the last 12 years of tax breaks for the rich, mismanagement, lack of leadership and cuts in services for the middle class and the poor, nor the adoption of new programs and new spending without new thinking.",NA,"503",NA
"It is time to listen to the grassroots of America, time to renew the spirit of citizen activism that has always been the touchstone of a free and democratic society.",NA,"606",NA
"Therefore we call for a revolution in government - to take power away from entrenched bureaucracies and narrow interests in Washington and put it back in the hands of ordinary people.",NA,"303",NA
"We vow to make government more decentralized, more flexible, and more accountable - to reform public institutions and replace public officials who aren't leading with ones who will.",NA,"301",NA
"The Revolution of 1992 is about restoring America's economic greatness.",NA,"408",NA
"We need to rebuild America by abandoning the something-for-nothing ethic of the last decade and putting people first for a change.",NA,"606",NA
"Only a thriving economy, a strong manufacturing base, and growth in creative new enterprise can generate the resources to meet the nation's pressing human and social needs.",NA,"408",NA
"An expanding, entrepreneurial economy of high-skill, high-wage jobs is the most important family policy, urban policy, labor policy, minority policy and foreign policy America can have.",NA,"408",NA
"The Revolution of 1992 is about putting government back on the side of working men and women - to help those who work hard, pay their bills, play by the rules, don't lobby for tax breaks, do their best to give their kids a good education and to keep them away from drugs, who want a safe neighborhood for their families, the security of decent, productive jobs for themselves, and a dignified life for their parents.",NA,"701",NA
"The Revolution of 1992 is about a radical change in the way government operates -",NA,"303",NA
"not the Republican proposition that government has no role, nor the old notion that there's a program for every problem, but a shift to a more efficient, flexible and results-oriented government that improves services, expands choices, and empowers citizens and communities to change our country from the bottom up.",NA,"303",NA
"We believe in an activist government, but it must work in a different, more responsive way.",NA,"303",NA
"The Revolution of 1992 is about facing up to tough choices.",NA,"606",NA
"There is no relief for America's frustration in the politics of diversion and evasion, of false choices or of no choices at all.",NA,"606",NA
"Instead of everyone in Washington blaming one another for inaction, we will act decisively -- and ask to be held accountable if we don't.",NA,"305",NA
"Above all the Revolution of 1992 is about restoring the basic American values that built this country and will always make it great: personal responsibility, individual liberty, tolerance, faith, family and hard work.",NA,"603",NA
"We offer the American people not only new ideas, a new course, and a new President, but a return to the enduring principles that set our nation apart: the promise of opportunity, the strength of community, the dignity of work, and a decent life for senior citizens.",NA,"603",NA
"To make this revolution, we seek a New Covenant to repair the damaged bond between the American people and their government, that will expand opportunity, insist upon greater individual responsibility in return, restore community, and ensure national security in a profoundly new era.",NA,"606",NA
"We welcome the close scrutiny of the American people, including Americans who may have thought the Democratic Party had forgotten its way, as well as all who know us as the champions of those who have been denied a chance.",NA,"202",NA
"With this platform we take our case for change to the American people.",NA,"202",NA
"I. OPPORTUNITY",NA,NA,NA
"Our Party's first priority is opportunity -- broad- based, non-inflationary economic growth and the opportunity that flows from it.",NA,"410",NA
"Democrats in 1992 hold nothing more important for America than an economy that offers growth and jobs for all.",NA,"410",NA
"President Bush, with no interest in domestic policy, has given America the slowest economic growth, the slowest income growth, and the slowest jobs growth since the Great Depression.",NA,"305",NA
"And the American people know the long Bush recession reflects not just a business cycle, but a long-term slide, so that even in a fragile recovery we're sinking.",NA,"305",NA
"The ballooning Bush deficits hijacked capital from productive investments.",NA,"305",NA
"Savings and loan sharks enriched themselves at their country's expense.",NA,"503",NA
"The stock market tripled, but average incomes stalled, and poverty claimed more of our children.",NA,"503",NA
"We reject both the do-nothing government of the last twelve years and the big government theory that says we can hamstring business and tax and spend our way to prosperity.",NA,"305",NA
"Instead we offer a third way.",NA,"408",NA
"Just as we have always viewed working men and women as the bedrock of our economy, we honor business as a noble endeavor, and vow to create a far better climate for firms and independent contractors of all sizes that empower their workers, revolutionize their workplaces, respect the environment, and serve their communities well.",NA,"408",NA
"We believe in free enterprise and the power of market forces.",NA,"401",NA
"But economic growth will not come without a national economic strategy to invest in people.",NA,"404",NA
"For twelve years our country has had no economic vision, leadership or strategy.",NA,"305",NA
"It is time to put our people and our country first.",NA,"606",NA
"Investing in America.",NA,NA,NA
"The only way to lay the foundation for renewed American prosperity is to spur both public and private investment.",NA,"410",NA
"We must strive to close both the budget deficit and the investment gap.",NA,"414",NA
"Our major competitors invest far more than we do in roads, bridges, and the information networks and technologies of the future.",NA,"411",NA
"We will rebuild America by investing more in transportation, environmental technologies, defense conversion, and a national information network.",NA,"411",NA
